caller_row_id,callee_row_id
821,755
1081,165
981,1781
260,607
165,1081
486,1249
3,1078
995,911
1781,981
670,1532
1797,611
1241,1001
611,1797
1797,1267
705,980
1909,1910
1640,631
532,1263
532,1191
279,342
131,1786
1015,1286
1454,642
1314,691
642,1454
269,1800
607,260
1333,1564
165,67
1286,1015
1080,1499
393,1500
1500,393
631,534
1454,372
767,386
123,344
1823,966
615,665
1454,1628
606,1668
534,631
628,571
810,991
1263,532
1001,1241
571,628
1628,1454
1078,3
980,705
395,834
1207,108
1945,1442
1875,1878
545,1028
1382,968
665,615
246,987
1532,670
395,831
1786,131
834,395
1040,1022
17,19
593,1728
1022,1339
1847,496
1061,1263
1202,754
1162,102
344,123
1194,1482
1912,203
1372,767
1910,1909
711,1559
1081,67
199,1523
1061,532
766,381
1191,532
911,995
1910,145
405,270
386,767
740,597
67,165
95,407
566,565
1032,740
1360,1322
631,1640
36,706
717,1060
1186,597
764,160
767,1372
1645,607
1910,776
1195,1186
67,1081
565,566
969,241
960,419
597,740
903,1529
372,1454
16,168
226,1283
831,395
566,578
347,812
128,111
1372,1662
379,991
1272,735
1637,60
952,469
18,1312
826,1265
1628,1641
60,641
142,229
342,279
740,1032
203,1912
98,763
270,405
1878,1875
903,371
991,810
1442,1945
108,1207
588,1336
1823,594
1499,1080
1749,562
1458,195
19,17
721,1334
217,1875
1548,940
611,790
769,1628
1947,767
735,1272
1625,693
419,19
617,1336
968,1382
421,1450
682,1526
1283,226
168,16
115,1510
1281,347
693,1625
706,36
264,1947
1483,375
160,764
165,1665
532,1061
1067,752
1662,1629
812,347
1668,606
903,642
469,952
99,407
469,60
1792,1474
1792,991
755,821
102,1162
349,1595
1534,610
1800,269
790,611
752,1067
417,1309
754,1202
617,588
375,1483
741,1486
352,594
772,770
628,631
1339,1022
1565,1822
106,1017
1205,190
199,790
199,611
1662,1372
131,38
1875,217
1530,900
468,1248
1878,1877
1564,1333
1641,1628
784,509
338,1801
606,1747
383,677
790,199
407,95
1526,682
1441,19
1466,1760
776,1910
594,352
594,323
21,163
777,1561
384,946
1003,1847
340,57
1783,379
371,903
1728,593
1236,514
412,269
1263,1061
214,302
1811,828
722,98
1208,607
172,1082
176,946
1378,772
622,1784
1168,1366
190,1205
1186,346
750,267
642,371
57,340
60,1472
611,199
609,1289
767,1947
685,822
60,469
145,1910
1450,1317
642,1628
1870,513
1186,1195
837,1667
1667,650
834,831
1474,1792
940,1442
165,1062
650,837
900,1530
102,657
1249,486
565,578
347,1281
349,817
837,719
631,628
468,1003
705,1164
705,1372
1773,134
719,1667
514,1236
1766,820
1792,256
691,1314
697,356
1798,1447
1760,1466
785,1293
381,766
1778,1334
562,1749
419,960
605,1840
607,1645
384,532
763,98
185,1325
1164,1263
1271,1334
145,804
1281,1515
1248,470
243,987
259,607
