row_id,NIGHT_ECI_LIST
1,38886203395
2,38886203393|38886203396
3,244082723|38715588609
4,98865282
5,195909249|38860619782|38860619783
6,38886203395
7,258772104
8,203427780|203427785
9,38822645761
10,38886203393
11,244072449|54092882
12,138699523
13,258770308
14,54097489
15,244082723|38777249793|98868609
16,195907969|195907973
17,38860779529
18,203435721
19,54094656
20,38822645761
21,138678069
22,38860640259
23,244031245|38822526977
24,38860582922
25,258772611|38905769986
26,203435721|38886711299
27,244031498|38822645761
28,244082720|38715588610|38777249794|38822215681
29,38906601473|38906601477|98857601
30,38822666242
31,38777249795|6122080
32,38886203393
33,258770817
34,203409858
35,258772642
36,244068388
37,38886641672|38906597378
38,244072715|258740865|38860615685|38885879809
39,38860615684
40,38822645761
41,244082696|38777266181
42,244031498|38822645761
43,244031489
44,38822645761
45,258770817
46,258742935
47,38715588610|38777249794|38777249797
48,195908225
49,258770820
50,54095200
51,258772612
52,38885879831
53,98868609
54,38860615684
55,38822645761
56,98865282
57,202902209
58,203435208
59,258774657|38822518789
60,203435208
61,244082690|244082723
62,258770305|38822522882|38822522890
63,244082722|6122086
64,38822645761
65,38777249794|38822526987
66,38886711298|98851969
67,136305668|258774657|258774669
68,258772102
69,258772103|38822219778
70,98865284
71,38886203395
72,38822522890
73,258770817
74,38886203393
75,38886203393
76,102303170|38886641671
77,38885879830
78,54094658
79,136305670|38777266183
80,258722691
81,38822522890
82,98857618
83,258770561
84,38777249797|38777249798
85,102303176
86,258772609|38905769986
87,195908248
88,244082739|244082740
89,38777249795|38777249797
90,258770817
91,244072741
92,102303188
93,98865284
94,38906601476
95,244068384
96,38777249797
97,102303184
98,98857601
99,258774659|38822518790
100,102303169
101,258772103|38822219778|38822219781
102,54094672
103,244082740|38777266183
104,258770820
105,258772611
106,258722693
107,102303182|102303183
108,258772640
109,102288576
110,38886641673
111,38715588609|38715588611
112,38777249797
113,244031246
114,258740865
115,136305667|83642951
116,38822215695
117,102303169
118,38860779529
119,203435714
120,244068368|38886711298
121,258722700
122,38860779528
123,203427784
124,244072734
125,244082723|6122087
126,38822645762
127,244082694
128,6122088
129,38886203395
130,244072726
131,258770818
132,38822526985
133,258772611
134,244068354
135,244082723
136,54093640
137,244068384
138,258741891|38822518792
139,258770308|258770316|38777249798|38822522890
140,258722693
141,258722693
142,244082740
143,258741891|258741895|38822518790|38822518792
144,203435208
145,38886711298|98851969|98851975
146,195908225|195908248|38905978881|6122082
147,203435208|38907494403
148,98876801
149,38822522887|38907514881
150,38860779523
151,258772103
152,38886203393
153,38886203395
154,244082740
155,244082723
156,244031495
157,258772103|38822645762
158,98857601
159,258770568|38822522886|38886711299
160,195909251|38822666243|38822666244|98876801
161,98857601
162,244031495
163,203409858
164,38822522890
165,195908489
166,258722701
167,244082720|38777249794|6122079
168,195907970|195907973
169,244082723
170,258772103
171,195907719
172,258741895
173,258731917|38906015746
174,258741890
175,38860582914
176,38860779529|54094658
177,244031498
178,258741896|258774669
179,203435714
180,244072715
181,244068382
182,38822219778|38822219781
183,244068353|244068387
184,203427780|38860619779
185,244068387|244068388|38886711298|98851975
186,38885879811|38886203394
187,136305670
188,258770305|258770308|258770317
189,258770317
190,54097473
191,38860619778|38860619779|38860619785
192,38822645761|38822645762
193,138678068|138678070
194,203427781|38860619779
195,203427781
196,38822215684|38822645761|98876801
197,38885879811
198,38860611590
199,258770843
200,203435714|203435725
201,38822645761
202,38822219778|38822645761
203,258731917|38906015746
204,102288576
205,38822219779|38822219782|54097489
206,244068387
207,38906781698
208,244031498|38822645761
209,195907756|38860582914
210,138678061|38715588611|38822215682|38822215695|38822645761
211,244031252
212,38822645761
213,244031495|38822219778
214,258740865
215,38822645761
216,258772098|38822645762|38822666244
217,258742935
218,258995074|38886641674
219,138678055
220,38886203395
221,98876802
222,38885879810|38886203393
223,38777249793|38777249798|6122081
224,258774669|38822518789|38822518792
225,38822518786|38822518787|38822518792
226,38715588610
227,195908247|258740869
228,102303169
229,138678061
230,6122086
231,258741891
232,258722693
233,244082722
234,244082740|258740869|258740876|38777266183|38860640257
235,6122087
236,244082720
237,195907759|258731917
238,38822522886|38822522889|38886105092
239,38715588610|83642951
240,38822522883
241,54094657|54094673
242,38777249796|38777249798
243,258741896
244,38907514881|98875521
245,98875521
246,203427776|258741896
247,38906601473
248,38822526981|38860611591
249,38715588609|38715588610|6122088
250,203435208
251,38860615684
252,38777249795|38860779531
253,258772098
254,244082695|38777266180
255,203435723
256,258772103
257,38860611585|38860611587
258,38822215684|98876801
259,203435721|258770568
260,98851969
261,258770568
262,244031498|38822645761
263,195909249|203427780
264,38860779530
265,38822518785
266,195907973
267,102303169|38886641667|38886641669
268,38777266181
269,244068388
270,98851975
271,38822666245
272,258741891|38822518792
273,98865284
274,138678061|244082696
275,244082696|38777266181
276,258770817
277,203435721
278,136305666
279,258770563|38907514881
280,258770568|38822522886
281,244068384
282,244082696|38777266181
283,38715588616|38777266178|98876801
284,258770561
285,38860619780|38860619783
286,54093659
287,258770817|38886203396
288,38886203395
289,38885879811|38886203394
290,258770307
291,38822666241
292,98865285
293,38777249795
294,244082722|38777249795
295,38885879831
296,258770311
297,38822518787
298,244082721|38822215687|38822215690
299,244031498
300,258770820
301,258741896|258774659
302,258740865
303,258770317
304,38822645761
305,244068368|38886711298|98851970
306,38822522884|38822522888|38907514882|98875522
307,203435724
308,38822522881
309,258741895|38822518792
310,195907756
311,102303169|102303183
312,38822645761
313,98865281
314,38822645761
315,258772610
316,258770818
317,38860611592
318,38860611592
319,38886203393|38886203396
320,258770821
321,38885879811
322,38886203396
323,258995075
324,244082720|38777249794
325,244082720
326,258770311
327,258770564|38822522884
328,244068387
329,38885879830
330,244031499|258772103|38822219778|38822219781
331,54095178
332,244072450
333,258770566
334,258995075
335,38715588612
336,38822666241|38822666243|98857624
337,38885879830
338,38860779529|54093650
339,98865284
340,202902209
341,138678037|38777249794
342,258770563|38822522884
343,38715588609
344,203427784
345,195909249
346,54092865
347,258770565|38822522887
348,38906015748|38906015751
349,98865284
350,38715588610|6122088
351,195908225
352,102303169
353,38860779525|38907473921|98876824
354,203435714
355,244068368
356,138678037
357,38885879811
358,38886203393
359,38886203396
360,38886203395
361,203427785|38860619779
362,38885879811
363,38777266181
364,38886203396
365,258770820
366,38822666244
367,244082740|38777266181
368,38886203393
369,38886203396
370,98865282
371,258772612
372,258772613
373,203427778
374,38886203396
375,203435208
376,38886203395
377,258772102
378,38777249793|38777249795
379,244031489
380,258722700
381,258731922
382,244082693
383,258770840
384,38860779529
385,38822645761
386,244031235|38822666244|38822666245
387,195907719
388,6122087
389,244082740|38777249794|38777266183
390,244072724
391,38906601477
392,258772103|38822645762
393,203435720|203435722
394,38822518788
395,98851975
396,244068392
397,38822666242
398,244082740|38777266181
399,38886203395
400,38885879811
401,38886711298|98851969
402,38886711298|98851970
403,38886711298|98851970
404,244068389
405,244068368|38886711298|98851975
406,244082740
407,258774659
408,54093659
409,203435714
410,258741895|38822518792
411,258772103
412,38886711298|98851969
413,244031498
414,38860779525|38886711299
415,38822518786|38822518789
416,244068354|38822518785
417,258741891|38822518792
418,244068353
419,38860779529
420,38822645761
421,244068384|38822518785|38822518796
422,38777249798
423,38822645761
424,244031489|38822219778|38822219781|38822645762
425,38822666243|38822666244
426,258770817|38886203393
427,244082695
428,38885879811
429,38886203395
430,244031238
431,38822666242
432,195909248
433,38886203395|38886203396
434,38886203396
435,195908482|38885879811
436,38886203396
437,38822666242
438,38886203393
439,38885879810|38886203393
440,38886203393
441,258995073
442,38822666243|38822666244
443,6122054|6122081
444,38715588612
445,38886203396
446,203427784
447,38886203395
448,38886203395
449,38822645761
450,38715588616
451,98865281
452,98865282
453,38905769988
454,54095200
455,244031495|38822219778
456,38822526982
457,98865285
458,38822526981
459,258772104
460,258770817
461,203416514
462,98865285
463,244031256|98865281
464,244031498|38822645761
465,244072715
466,258770817
467,258742935
468,54095200
469,138678055
470,38860611590
471,38822645761
472,38822666243
473,98865281
474,258772102
475,38907494403
476,38886203396
477,98865284
478,98865281
479,98865281
480,258772610
481,38822666243
482,38860611588
483,38860611590|54095200
484,38860611590
485,244031233|38822666244
486,54095200
487,54095200
488,244031234
489,98865281
490,98865281
491,38860611590
492,258770843
493,38905769988
494,38822666241
495,98865285
496,54095200
497,38885879830
498,244031245
499,38822645761
